Pytorch-Fast	Pytorch-Original	Tensorflow
conv0./.weight	conv0.conv.weight	conv0/W:0
conv0.bn.weight	conv0.bn.weight	conv0/bn/gamma:0
conv0.bn.bias	conv0.bn.bias	conv0/bn/beta:0
conv0.bn.running_mean	conv0.bn.running_mean	conv0/bn/mean/EMA:0
conv0.bn.running_var	conv0.bn.running_var	conv0/bn/variance/EMA:0
d0.units.0.conv1.weight	d0.units.0.conv1.weight	group0/block0/conv1/W:0
d0.units.0.conv1/bn.weight	d0.units.0.conv1_bn.weight	group0/block0/conv1/bn/gamma:0
d0.units.0.conv1/bn.bias	d0.units.0.conv1_bn.bias	group0/block0/conv1/bn/beta:0
d0.units.0.conv1/bn.running_mean	d0.units.0.conv1_bn.running_mean	group0/block0/conv1/bn/mean/EMA:0
d0.units.0.conv1/bn.running_var	d0.units.0.conv1_bn.running_var	group0/block0/conv1/bn/variance/EMA:0
d0.units.0.conv2.weight	d0.units.0.conv2.weight	group0/block0/conv2/W:0
d0.units.0.conv2/bn.weight	d0.units.0.conv2_bn.weight	group0/block0/conv2/bn/gamma:0
d0.units.0.conv2/bn.bias	d0.units.0.conv2_bn.bias	group0/block0/conv2/bn/beta:0
d0.units.0.conv2/bn.running_mean	d0.units.0.conv2_bn.running_mean	group0/block0/conv2/bn/mean/EMA:0
d0.units.0.conv2/bn.running_var	d0.units.0.conv2_bn.running_var	group0/block0/conv2/bn/variance/EMA:0
d0.units.0.conv3.weight	d0.units.0.conv3.weight	group0/block0/conv3/W:0
d0.units.1.preact/bn.weight	d0.units.1.preact_bn.weight	group0/block1/preact/bn/gamma:0
d0.units.1.preact/bn.bias	d0.units.1.preact_bn.bias	group0/block1/preact/bn/beta:0
d0.units.1.preact/bn.running_mean	d0.units.1.preact_bn.running_mean	group0/block1/preact/bn/mean/EMA:0
d0.units.1.preact/bn.running_var	d0.units.1.preact_bn.running_var	group0/block1/preact/bn/variance/EMA:0
d0.units.1.conv1.weight	d0.units.1.conv1.weight	group0/block1/conv1/W:0
d0.units.1.conv1/bn.weight	d0.units.1.conv1_bn.weight	group0/block1/conv1/bn/gamma:0
d0.units.1.conv1/bn.bias	d0.units.1.conv1_bn.bias	group0/block1/conv1/bn/beta:0
d0.units.1.conv1/bn.running_mean	d0.units.1.conv1_bn.running_mean	group0/block1/conv1/bn/mean/EMA:0
d0.units.1.conv1/bn.running_var	d0.units.1.conv1_bn.running_var	group0/block1/conv1/bn/variance/EMA:0
d0.units.1.conv2.weight	d0.units.1.conv2.weight	group0/block1/conv2/W:0
d0.units.1.conv2/bn.weight	d0.units.1.conv2_bn.weight	group0/block1/conv2/bn/gamma:0
d0.units.1.conv2/bn.bias	d0.units.1.conv2_bn.bias	group0/block1/conv2/bn/beta:0
d0.units.1.conv2/bn.running_mean	d0.units.1.conv2_bn.running_mean	group0/block1/conv2/bn/mean/EMA:0
d0.units.1.conv2/bn.running_var	d0.units.1.conv2_bn.running_var	group0/block1/conv2/bn/variance/EMA:0
d0.units.1.conv3.weight	d0.units.1.conv3.weight	group0/block1/conv3/W:0
d0.units.2.preact/bn.weight	d0.units.2.preact_bn.weight	group0/block2/preact/bn/gamma:0
d0.units.2.preact/bn.bias	d0.units.2.preact_bn.bias	group0/block2/preact/bn/beta:0
d0.units.2.preact/bn.running_mean	d0.units.2.preact_bn.running_mean	group0/block2/preact/bn/mean/EMA:0
d0.units.2.preact/bn.running_var	d0.units.2.preact_bn.running_var	group0/block2/preact/bn/variance/EMA:0
d0.units.2.conv1.weight	d0.units.2.conv1.weight	group0/block2/conv1/W:0
d0.units.2.conv1/bn.weight	d0.units.2.conv1_bn.weight	group0/block2/conv1/bn/gamma:0
d0.units.2.conv1/bn.bias	d0.units.2.conv1_bn.bias	group0/block2/conv1/bn/beta:0
d0.units.2.conv1/bn.running_mean	d0.units.2.conv1_bn.running_mean	group0/block2/conv1/bn/mean/EMA:0
d0.units.2.conv1/bn.running_var	d0.units.2.conv1_bn.running_var	group0/block2/conv1/bn/variance/EMA:0
d0.units.2.conv2.weight	d0.units.2.conv2.weight	group0/block2/conv2/W:0
d0.units.2.conv2/bn.weight	d0.units.2.conv2_bn.weight	group0/block2/conv2/bn/gamma:0
d0.units.2.conv2/bn.bias	d0.units.2.conv2_bn.bias	group0/block2/conv2/bn/beta:0
d0.units.2.conv2/bn.running_mean	d0.units.2.conv2_bn.running_mean	group0/block2/conv2/bn/mean/EMA:0
d0.units.2.conv2/bn.running_var	d0.units.2.conv2_bn.running_var	group0/block2/conv2/bn/variance/EMA:0
d0.units.2.conv3.weight	d0.units.2.conv3.weight	group0/block2/conv3/W:0
d0.shortcut.weight	d0.shortcut.weight	group0/block0/convshortcut/W:0
d0.blk_bna.bn.weight	d0.blk_bna.bn.weight	group0/bnlast/bn/gamma:0
d0.blk_bna.bn.bias	d0.blk_bna.bn.bias	group0/bnlast/bn/beta:0
d0.blk_bna.bn.running_mean	d0.blk_bna.bn.running_mean	group0/bnlast/bn/mean/EMA:0
d0.blk_bna.bn.running_var	d0.blk_bna.bn.running_var	group0/bnlast/bn/variance/EMA:0
d1.units.0.conv1.weight	d1.units.0.conv1.weight	group1/block0/conv1/W:0
d1.units.0.conv1/bn.weight	d1.units.0.conv1_bn.weight	group1/block0/conv1/bn/gamma:0
d1.units.0.conv1/bn.bias	d1.units.0.conv1_bn.bias	group1/block0/conv1/bn/beta:0
d1.units.0.conv1/bn.running_mean	d1.units.0.conv1_bn.running_mean	group1/block0/conv1/bn/mean/EMA:0
d1.units.0.conv1/bn.running_var	d1.units.0.conv1_bn.running_var	group1/block0/conv1/bn/variance/EMA:0
d1.units.0.conv2.weight	d1.units.0.conv2.weight	group1/block0/conv2/W:0
d1.units.0.conv2/bn.weight	d1.units.0.conv2_bn.weight	group1/block0/conv2/bn/gamma:0
d1.units.0.conv2/bn.bias	d1.units.0.conv2_bn.bias	group1/block0/conv2/bn/beta:0
d1.units.0.conv2/bn.running_mean	d1.units.0.conv2_bn.running_mean	group1/block0/conv2/bn/mean/EMA:0
d1.units.0.conv2/bn.running_var	d1.units.0.conv2_bn.running_var	group1/block0/conv2/bn/variance/EMA:0
d1.units.0.conv3.weight	d1.units.0.conv3.weight	group1/block0/conv3/W:0
d1.units.1.preact/bn.weight	d1.units.1.preact_bn.weight	group1/block1/preact/bn/gamma:0
d1.units.1.preact/bn.bias	d1.units.1.preact_bn.bias	group1/block1/preact/bn/beta:0
d1.units.1.preact/bn.running_mean	d1.units.1.preact_bn.running_mean	group1/block1/preact/bn/mean/EMA:0
d1.units.1.preact/bn.running_var	d1.units.1.preact_bn.running_var	group1/block1/preact/bn/variance/EMA:0
d1.units.1.conv1.weight	d1.units.1.conv1.weight	group1/block1/conv1/W:0
d1.units.1.conv1/bn.weight	d1.units.1.conv1_bn.weight	group1/block1/conv1/bn/gamma:0
d1.units.1.conv1/bn.bias	d1.units.1.conv1_bn.bias	group1/block1/conv1/bn/beta:0
d1.units.1.conv1/bn.running_mean	d1.units.1.conv1_bn.running_mean	group1/block1/conv1/bn/mean/EMA:0
d1.units.1.conv1/bn.running_var	d1.units.1.conv1_bn.running_var	group1/block1/conv1/bn/variance/EMA:0
d1.units.1.conv2.weight	d1.units.1.conv2.weight	group1/block1/conv2/W:0
d1.units.1.conv2/bn.weight	d1.units.1.conv2_bn.weight	group1/block1/conv2/bn/gamma:0
d1.units.1.conv2/bn.bias	d1.units.1.conv2_bn.bias	group1/block1/conv2/bn/beta:0
d1.units.1.conv2/bn.running_mean	d1.units.1.conv2_bn.running_mean	group1/block1/conv2/bn/mean/EMA:0
